4.6,3.6,1.0,0.2,setosa
5.3,3.7,1.5,0.2,setosa
5.8,2.7,5.1,1.9,virginica
5.8,2.7,5.1,1.9,virginica
6.5,2.8,4.6,1.5,versicolor
6.1,2.6,5.6,1.4,virginica
5.2,3.5,1.5,0.2,setosa
7.7,2.6,6.9,2.3,virginica
4.8,3.4,1.6,0.2,setosa
6.3,2.7,4.9,1.8,virginica
7.6,3.0,6.6,2.1,virginica
4.4,3.0,1.3,0.2,setosa
4.6,3.4,1.4,0.3,setosa
7.2,3.2,6.0,1.8,virginica
5.6,3.0,4.1,1.3,versicolor
6.4,3.2,5.3,2.3,virginica
5.9,3.0,4.2,1.5,versicolor
5.2,3.4,1.4,0.2,setosa
5.7,2.8,4.1,1.3,versicolor
5.8,2.7,3.9,1.2,versicolor
4.7,3.2,1.3,0.2,setosa
6.9,3.1,5.1,2.3,virginica
5.6,2.5,3.9,1.1,versicolor
4.9,3.1,1.5,0.1,setosa
4.9,3.1,1.5,0.1,setosa
4.9,3.1,1.5,0.1,setosa
4.8,3.0,1.4,0.1,setosa
5.6,3.0,4.5,1.5,versicolor
6.7,2.5,5.8,1.8,virginica
6.2,2.2,4.5,1.5,versicolor
5.4,3.4,1.5,0.4,setosa
7.9,3.8,6.4,2.0,virginica
7.7,3.8,6.7,2.2,virginica
6.1,2.9,4.7,1.4,versicolor
6.3,2.3,4.4,1.3,versicolor
6.0,3.0,4.8,1.8,virginica
6.2,2.8,4.8,1.8,virginica
7.2,3.0,5.8,1.6,virginica
5.0,2.0,3.5,1.0,versicolor
5.4,3.9,1.3,0.4,setosa
5.9,3.2,4.8,1.8,versicolor
6.7,3.3,5.7,2.1,virginica
5.1,3.8,1.9,0.4,setosa
6.7,3.0,5.0,1.7,versicolor
5.7,2.8,4.5,1.3,versicolor
5.5,2.3,4.0,1.3,versicolor
5.0,3.4,1.5,0.2,setosa
5.5,2.4,3.8,1.1,versicolor
5.4,3.9,1.7,0.4,setosa
6.3,2.8,5.1,1.5,virginica
